t	x	y
s	m	m
0	0.0152261323314994	0.127931461794498
0.0416666666666667	-0.011605940795837	0.133681195713468
0.0833333333333333	-0.0432294634792782	0.134639480076333
0.125	-0.0719781053323439	0.126973177431634
0.166666666666667	-0.101685003806493	0.112598856505101
0.208333333333333	-0.123725655119506	0.0915165034258433
0.25	-0.141933113497497	0.0685175954917471
0.291666666666667	-0.155349150061165	0.0388106692758168
0.333333333333333	-0.159182315254405	0.00622888997129259
0.375	-0.157265718786895	-0.0263529170750132
0.416666666666667	-0.147682847416467	-0.0551015589280789
0.458333333333333	-0.13043367340134	-0.0800170355879044
0.5	-0.106476453362597	-0.103015943522001
0.541666666666667	-0.079644380235261	-0.118348548811398
0.583333333333333	-0.0499374817611123	-0.127931447923608
0.625	-0.0221470965291297	-0.129848016649337
0.708333333333333	0.0324753063466261	-0.113557126997075
0.75	0.0593073794739625	-0.0972662373448127
0.791666666666667	0.0755982413844429	-0.0761838981364458
0.833333333333333	0.0918891587784867	-0.0503101093719741
0.875	0.102430314511779	-0.0225197518817731
0.916666666666667	0.107221764067884	0.00431229350378168
0.958333333333333	0.101472057890696	0.0340192474614936
1	0.0909308466738404	0.0608512928470484
1.04166666666667	0.0765565534890892	0.0857667972486555
1.08333333333333	0.0545159299178577	0.105890838223267
1.125	0.0296004255162505	0.121223443512664
1.16666666666667	0.00181009576783116	0.132722897479712
1.20833333333333	-0.0240637207384222	0.136556048802062
1.25	-0.0537706192125709	0.132722897479712
1.29166666666667	-0.0853941418960121	0.122181727875529
1.33333333333333	-0.109351334192973	0.107807406948996
1.375	-0.129475389038475	0.0848085128857908
1.41666666666667	-0.148641131779331	0.0579764397584544
1.45833333333333	-0.157265718786895	0.0273112291796595
1.5	-0.159182315254405	-0.00335400914091705
1.54166666666667	-0.155349150061165	-0.0311443388893364
1.58333333333333	-0.142891397860362	-0.0637261459356423
1.625	-0.123725655119506	-0.0867250538697385
1.66666666666667	-0.103601628015785	-0.104932539989511
1.70833333333333	-0.0758112427838024	-0.119306860916044
1.75	-0.0508957383821953	-0.127931447923608
1.79166666666667	-0.0192722711823174	-0.128889732286472
1.875	0.0382250125238139	-0.11259884263421
1.91666666666667	0.0583490673693162	-0.100141090433407
1.95833333333333	0.0765565534890892	-0.0781004668621751
2	0.0880560213270281	-0.0551015589280789
2.04166666666667	0.103388626616426	-0.0273112014378779
2.08333333333333	0.104346883237509	0.00239572477805241
2.125	0.101472057890696	0.0321026509939827
2.16666666666667	0.0928474708831329	0.0551015589280789
2.20833333333333	0.0794314343194648	0.0809753476925506
2.25	0.0602656360950455	0.0982245355785682
2.29166666666667	0.0391833246284602	0.117390292190315
